Type,Word,Pinyin,Meaning,Note
EN,checklist,,bảng liệt kê các mục cần kiểm tra,n
EN,client,,khách hàng,n
EN,communicate,,giao tiếp; truyền đạt,v
EN,exchange,,sự trao đổi,n
EN,film studio,,phim trường,phr
EN,journal,,tạp chí; báo,n
EN,journalist,,nhà báo,n
EN,magazine,,tạp chí,n
EN,newspaper,,tờ báo,n
EN,newsstand,,quầy báo; sạp báo,n
EN,parade publisher,,cuộc diễu hành,n
EN,reader,,nhà xuất bản,n
EN,reporter,,người đọc; độc giả,n
EN,sales trend,,phóng viên; người báo cáo,n
EN,comforting,,xu hướng bán hàng,phr
EN,excellently,,có thể an ủi,adj
EN,export,,tuyệt vời; xuất sắc,adv
EN,former,,hàng xuất khẩu,n
EN,govern,,trước; cũ,adj
EN,government,,quản lý; cai trị,v
EN,import,,hàng nhập khẩu,n
EN,politician,,chính trị gia,n
EN,politics,,chính trị; quan điểm chính trị,n
EN,shortly,,chẳng mấy chốc; vắn tắt; ngắn gọn,adv
EN,start,,buổi đầu; sự khởi đầu,n
EN,supplier,,nhà cung cấp,n
EN,unlikely,,không chắc; không có thực,adj
EN,back away from,,lùi xa khỏi,phr
EN,be closed for the day,,đóng cửa (hết giờ làm việc),phr
EN,be determined to do,,quyết tâm làm gì,phr
EN,business day,,ngày làm việc,phr
EN,commercial space,,không gian/mặt bằng kinh doanh,phr
EN,day after tomorrow,,ngày kia,phr
EN,front-page story,,câu chuyện trên trang nhất,phr
EN,give a good price,,đưa ra một mức giá tốt,phr
EN,headline,,tiêu đề; dòng tít,n
EN,in stock,,có hàng (còn trong kho),phr
EN,lead (up/down) to,,dẫn đến,phr
EN,make a recording,,ghi âm,phr
EN,normal operating hours,,giờ làm việc bình thường,phr
EN,on sale,,bán giảm giá,phr
EN,on the market,,trên thị trường,phr
EN,out of print,,không xuất bản nữa,phr
EN,out of stock,,hết hàng,phr
EN,overcharge,,bản quá đắt; nói thách,v
EN,payment option,,phương thức thanh toán,phr
EN,place an order,,đặt hàng,phr
EN,put A out for sale,,đưa A ra bán,phr
EN,retail store,,cửa hàng bán lẻ,phr
EN,run out of,,hết; cạn kiệt,phr
EN,sales presentation,,bài thuyết trình bán hàng,phr
EN,salesperson,,nhân viên bán hàng,n
EN,sold out,,hết hàng,phr
EN,stay open late,,mở cửa muộn,phr
EN,stockroom,,nhà kho,n
EN,storage facility,,kho hàng; kho lưu trữ,phr
EN,storeroom,,kho hàng,n
EN,take inventory,,kiểm kê,phr
EN,accordingly,,vì vậy; cho nên,adv
EN,adaptable,,có thể thích nghi,adj
EN,along with,,cùng với; kèm theo,phr
EN,at the latest,,muộn nhất là,phr
EN,compliant,,mềm mỏng; phục tùng,adj
EN,correspond,,tương xứng; đối nhau,v
EN,cultivation,,sự trồng trọt; sự nuôi dưỡng,n
EN,do business with,,buôn bán/giao dịch với,phr
EN,had better do,,tốt hơn nên,phr
EN,honorable,,đáng kính trọng; vinh dự,adj
EN,perceptive,,(thuộc) nhận thức; nhận thức được,adj
EN,reasonably,,hợp lý; vừa phải,adv
EN,transformation,,sự biến đổi,n
EN,attain,,đạt được,v
EN,barter,,đổi; đổi chác,v
EN,boycott,,tẩy chay,v
EN,capitalize on,,lợi dụng; tranh thủ cơ hội,phr
EN,council,,hội đồng,n
EN,Department of Commerce,,Bộ Thương mại,phr
EN,depot,,kho chứa; kho hàng,n
EN,diminish,,giảm; bớt,v
EN,duty-free,,miễn thuế,adj
EN,election,,cuộc bầu cử,n
EN,exercise one's right,,sử dụng quyền của,phr
EN,federal,,(thuộc) liên bang,adj
EN,hold power,,cầm quyền; nắm quyền,phr
EN,inclination,,sự nghiêng; độ nghiêng,n
EN,inevitable,,không thể tránh được,adj
EN,loyal customer,,khách hàng trung thành,phr
EN,outside provider,,nhà cung cấp bên ngoài,phr
EN,poll,,cuộc thăm dò ý kiến,n
EN,possession,,quyền sở hữu; sự chiếm hữu,n
EN,scarce,,khan hiếm; khó tìm,adj
EN,status,,trạng thái; tình trạng,n
EN,switch A to B,,chuyển A sang B,phr
EN,wholesaler,,người bán buôn,n
EN,withstand,,chịu đựng; chống lại,v
EN,backseat,,ghế sau,n
EN,borrow,,vay; mượn,v
EN,bother,,làm phiền,v
EN,ceiling,,trần nhà,n
EN,empty,,trống; rỗng,adj
EN,exit,,lối ra,n
EN,fashion photographer,,nhiếp ảnh gia thời trang,phr
EN,look after,,trông nom; chăm sóc,phr
EN,pair,,ghép đôi,v
EN,per day,,mỗi ngày,phr
EN,professor,,giáo sư,n
EN,proof,,bằng chứng; chứng cớ,n
EN,put on,,mặc vào,phr
EN,spray,,phun; xịt,v
EN,think of,,nghĩ về,phr
EN,wear,,mặc; mang; đeo,v
EN,climb,,trèo; leo trèo,v
EN,deny,,phủ nhận; từ chối,v
EN,escape,,trốn thoát; thoát ra,v
EN,final,,cuối cùng,adj
EN,generally,,nói chung; thông thường,adv
EN,loose,,lỏng; lung lay,adj
EN,meaning,,nghĩa; ý nghĩa,n
EN,off-season,,mùa thấp điểm,n
EN,once,,trước đây; đã từng,adj
EN,product,,sản phẩm,n
EN,quit,,từ bỏ; thôi,v
EN,volume,,âm lượng; tập (sách),n
EN,close a deal,,chốt giao dịch,phr
EN,complicate,,làm phức tạp; làm rắc rối,v
EN,dial a number,,quay số; gọi điện thoại,phr
EN,disadvantage,,sự bất lợi,n
EN,focus on,,tập trung vào,phr
EN,for ages,,rất lâu,phr
EN,household,,hộ; gia đình,n
EN,I have no idea,,Tôi không biết,phr
EN,lock up,,khóa lại; cất giữ,phr
EN,make a deposit,,đặt cọc,phr
EN,make a mistake,,phạm lỗi,phr
EN,peak,,đỉnh; chỏm; chóp,n
EN,rain check,,phiếu mua hàng sau; để dịp sau,phr
EN,rent out,,cho thuê,phr
EN,rental agreement,,hợp đồng cho thuê,phr
EN,rough,,khó khăn; gian khổ,adj
EN,royalty,,hoàng gia,n
EN,run off in several directions,,thử làm nhiều việc,phr
EN,scare,,dọa; làm kinh hãi,v
EN,sign a contract,,ký hợp đồng,phr
EN,under a contract,,theo hợp đồng,phr
EN,win a contract,,giành được hợp đồng,phr
EN,agreeable,,dễ chịu; sẵn sàng đồng ý,adj
EN,call out,,ra lệnh; kêu gọi,phr
EN,convincing,,có sức thuyết phục,adj
EN,diplomatic,,mang tính ngoại giao,adj
EN,equality,,sự cân bằng,n
EN,ethical,,thuộc về đạo đức,adj
EN,hesitate,,do dự; ngập ngừng,v
EN,in contrast,,đối lập; trái ngược,phr
EN,instrumental,,thuộc nhạc cụ/dụng cụ,adj
EN,lengthen,,kéo dài,v
EN,make a move,,hành động; ra tay,phr
EN,offend,,xúc phạm; vi phạm,v
EN,opposing,,trái ngược; đối kháng,adj
EN,origin,,nguồn gốc; xuất xứ,n
EN,rational,,có lý; thỏa đáng,adj
EN,recognition,,sự công nhận,n
EN,refusal,,sự từ chối,n
EN,sarcastic,,chế nhạo; châm biếm,adj
EN,selected,,được chọn; kén chọn,adj
EN,sort of,,phần nào,phr
EN,surely,,chắc chắn; rõ ràng,adv
EN,surprise,,sự/điều ngạc nhiên,n
EN,uninterested,,không quan tâm; thờ ơ,adj
EN,verbal,,bằng lời nói,adj
EN,virtual,,ảo,adj
EN,within reason,,vừa phải; hợp lý,phr
EN,be in agreement,,đồng ý với,phr
EN,draw up a new agreement,,soạn thảo một hợp đồng mới,phr
EN,enclosure,,sự gửi kèm (tài liệu),n
EN,generation gap,,khoảng cách thế hệ,phr
EN,have difficulty (in) -ing,,gặp khó khăn trong việc,phr
EN,in appreciation of,,trong nỗ lực để,phr
EN,in an attempt to,,với sự cảm kích dành cho,phr
EN,in print,,trên văn bản trên giấy,phr
EN,in summary,,tóm lại,phr
EN,lifetime employment,,công việc lâu dài,phr
EN,low-income resident,,khu dân cư thu nhập thấp,phr
EN,make a bid,,bỏ thầu; đấu giá,phr
EN,make a contract with,,ký hợp đồng với,phr
EN,on hand,,có sẵn; hiện có,phr
EN,replica,,mô hình; bản sao,n
EN,rigid,,cứng rắn; cứng nhắc,adj
EN,security deposit,,tiền bảo chứng; tiền đặt cọc,phr
EN,sequential,,liên tục; tiếp sau,adj
EN,successful candidate,,ứng viên được chọn,phr
EN,take A seriously,,xem A là quan trọng; làm A một cách nghiêm túc,phr
EN,It is no wonder (that),,Không có gì lạ khi,phr
EN,portray,,vẽ; miêu tả (người; cảnh),v
EN,reinstall,,cài đặt lại; phục chức,v
EN,repave,,lát lại (đường),v
EN,run the risk of,,có nguy cơ,phr
EN,think over,,nghĩ lại,phr
EN,affiliation,,sự liên kết; sự sáp nhập,n
EN,arbitration,,sự phân xử; trọng tài,n
EN,beside the point,,không quan trọng; lạc đề,phr
EN,foil,,đánh bại; làm thất bại,v
EN,impartially,,vô tư; công bằng,adv
EN,inconclusively,,bỏ lửng; mập mờ,adv
EN,omission,,sự bỏ sót,n
EN,originate in,,bắt nguồn từ,phr
EN,preferential treatment,,đối xử ưu ái,phr
EN,recollection,,sự nhớ lại; hồi ức,n
EN,reconcile,,giảng hòa; hòa giải,v
EN,relinquish,,từ bỏ,v
EN,remembrance,,sự hồi tưởng; ký ức,n
