Topic,Word,Pinyin,Pronunciation,Meaning
"1. Chủ đề chào hỏi, giới thiệu bản thân",是,shì,Sư,"Là, phải, thì"
"1. Chủ đề chào hỏi, giới thiệu bản thân",不是,bú shì,Phu Si,Không phải
"1. Chủ đề chào hỏi, giới thiệu bản thân",我,wǒ,Ủa,Tôi
"1. Chủ đề chào hỏi, giới thiệu bản thân",你,nǐ,Nỉ,Bạn
"1. Chủ đề chào hỏi, giới thiệu bản thân",他,tā,Tha,Anh ấy (chỉ nam)
"1. Chủ đề chào hỏi, giới thiệu bản thân",她,tā,Tha,Cô ấy (chỉ nữ)
"1. Chủ đề chào hỏi, giới thiệu bản thân",它,tā,Tha,Nó
"1. Chủ đề chào hỏi, giới thiệu bản thân",的,de,Tơ,Của
"1. Chủ đề chào hỏi, giới thiệu bản thân",很,hěn,Hẩn,Rất
"1. Chủ đề chào hỏi, giới thiệu bản thân",叫,jiào,Chiêu,"Là, gọi là"
"1. Chủ đề chào hỏi, giới thiệu bản thân",名字,míngzi,Mính chư,Tên
"1. Chủ đề chào hỏi, giới thiệu bản thân",来自,láizì,Laichhi,Đến từ
"1. Chủ đề chào hỏi, giới thiệu bản thân",越南,Yuènán,Yuânan,Việt Nam
"1. Chủ đề chào hỏi, giới thiệu bản thân",中国,Zhōngguó,Thronccua,Trung Quốc
"1. Chủ đề chào hỏi, giới thiệu bản thân",会说,huì shuō,Huây Sua,Biết nói (ngôn ngữ)
"1. Chủ đề chào hỏi, giới thiệu bản thân",一点,yìdiǎn,Yithiên,Một ít
"1. Chủ đề chào hỏi, giới thiệu bản thân",喜欢,xǐhuan,Xihoan,Thích
"1. Chủ đề chào hỏi, giới thiệu bản thân",很好,hěn hǎo,Hân Hao,"Rất tốt, rất khỏe"
"1. Chủ đề chào hỏi, giới thiệu bản thân",谢谢,xièxie,Xe xỉa,Cảm ơn
"1. Chủ đề chào hỏi, giới thiệu bản thân",再见,zàijiàn,Chai chiên,Tạm biệt
2. Gia đình,妈妈,māma,Mama,Mẹ
2. Gia đình,爸爸,bàba,Phapha,Bố
2. Gia đình,弟弟,dìdi,Thithi,Em trai
2. Gia đình,哥哥,gēge,Cece,Anh trai
2. Gia đình,妹妹,mèimei,Meimei,Em gái
2. Gia đình,姐姐,jiějie,Ciiêciiê,Chị gái
2. Gia đình,儿子,érzi,Erchhi,Con trai
2. Gia đình,女儿,nǚér,Nuer,Con gái
2. Gia đình,奶奶,nǎinai,Nainai,Bà nội
2. Gia đình,爷爷,yéye,Yeye,Ông nội
2. Gia đình,外公,wàigōng,Waiconc,Ông ngoại
2. Gia đình,外婆,wàipó,Waipho,Bà ngoại
2. Gia đình,家庭,jiātíng,Ciiathinc,Gia đình
2. Gia đình,叔叔,shūshu,Susu,Chú
2. Gia đình,阿姨,āyí,Ayi,Dì
2. Gia đình,伯父,bófù,Phofu,Bác
2. Gia đình,伯母,bómǔ,Phomu,Thím
2. Gia đình,妻子,qīzi,Sichhi,Vợ
2. Gia đình,丈夫,zhàngfù,Thrancfu,Chồng
2. Gia đình,家,jiā,Ciia,"Nhà, gia đình"
"3. Số đếm, thời gian",一,yī,Yi,"Một, số 1"
"3. Số đếm, thời gian",二,èr,Er,"Hai, số 2"
"3. Số đếm, thời gian",三,sān,San,"Ba, số 3"
"3. Số đếm, thời gian",四,sì,Si,"Bốn, số 4"
"3. Số đếm, thời gian",五,wǔ,Wu,"Năm, số 5"
"3. Số đếm, thời gian",六,liù,Liêu,"Sáu, số 6"
"3. Số đếm, thời gian",七,qī,Si,"Bảy, số 7"
"3. Số đếm, thời gian",八,bā,Pha,"Tám, số 8"
"3. Số đếm, thời gian",九,jiǔ,Ciiêu,"Chín, số 9"
"3. Số đếm, thời gian",十,shí,Si,"Mười, số 10"
"3. Số đếm, thời gian",一百,yībài,Yiphai,"Một trăm, 100"
"3. Số đếm, thời gian",一千,yīqiān,Yisiên,Một nghìn
"3. Số đếm, thời gian",零,líng,Linc,"Số không, số 0"
"3. Số đếm, thời gian",今天,jīntiān,Ciinthiên,Hôm nay
